URL,Latencia,BL,Type,Answer,Location
http://www.law.gmu.edu/ip/,0.00026,10,1,TRUE,Local
http://spiders.ucr.edu/avoidbites.html,0.0002,0,1,TRUE,Local
http://spiders.ucr.edu/avoidbites.html,0.00019,5,1,TRUE,Local
http://spiders.ucr.edu/avoidbites.html,0.00046,10,1,TRUE,Local
http://77.91.68.78/lend/lnstalIer.exe,0.00014,0,0,FALSE,Local
http://77.91.68.78/lend/lnstalIer.exe,0.00036,5,0,FALSE,Local
http://77.91.68.78/lend/lnstalIer.exe,0.00009,10,0,TRUE,Local
http://201.221.109.6:55581/bin.sh,0.00011,0,0,FALSE,Local
http://201.221.109.6:55581/bin.sh,0.00007,5,0,FALSE,Local
http://201.221.109.6:55581/bin.sh,0.00018,10,0,TRUE,Local
http://117.248.48.5:48273/bin.sh,0.00017,0,0,FALSE,Local
http://117.248.48.5:48273/bin.sh,0.00012,5,0,FALSE,Local
http://117.248.48.5:48273/bin.sh,0.0002,10,0,TRUE,Local
https://adl-nl.isasecret.com/saham.apk,0.00019,0,0,FALSE,Local
https://adl-nl.isasecret.com/saham.apk,0.00085,5,0,FALSE,Local
https://adl-nl.isasecret.com/saham.apk,0.00003,10,0,TRUE,Local
http://www.feuille-erable.org/accueil_cycle.htm,0.00012,0,1,TRUE,Local
http://www.feuille-erable.org/accueil_cycle.htm,0.0007,5,1,TRUE,Local
http://www.feuille-erable.org/accueil_cycle.htm,0.00035,10,1,TRUE,Local
http://123.10.20.217:40244/bin.sh,0.00011,0,0,FALSE,Local
http://123.10.20.217:40244/bin.sh,0.00011,5,0,FALSE,Local
http://123.10.20.217:40244/bin.sh,0.00065,10,0,TRUE,Local
http://219.156.33.17:42646/bin.sh,0.00028,0,0,FALSE,Local
http://219.156.33.17:42646/bin.sh,0.0001,5,0,FALSE,Local
http://219.156.33.17:42646/bin.sh,0.00008,10,0,TRUE,Local
http://www.orangeday.net/azumanga/,0.00015,0,1,TRUE,Local
http://www.orangeday.net/azumanga/,0.00021,5,1,TRUE,Local
http://www.orangeday.net/azumanga/,0.00049,10,1,TRUE,Local
http://125.41.4.218:57945/bin.sh,0.00033,0,0,FALSE,Local
http://125.41.4.218:57945/bin.sh,0.00024,5,0,FALSE,Local
http://125.41.4.218:57945/bin.sh,0.00008,10,0,TRUE,Local
http://www.pennantshop.com/,0.00017,0,1,TRUE,Local
http://www.pennantshop.com/,0.00021,5,1,TRUE,Local
http://www.pennantshop.com/,0.00035,10,1,TRUE,Local
https://wwsvf.layout.oystergardens.us/editContent,0.0002,0,0,FALSE,Local
https://wwsvf.layout.oystergardens.us/editContent,0.00066,5,0,FALSE,Local
https://wwsvf.layout.oystergardens.us/editContent,0.00009,10,0,TRUE,Local
